 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Parts List              1202/1202  Selected Parts             23-January-2018 15:05
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

R78           7.0024    2.0271  180.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R79           7.0024    1.9682    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R80           7.0054    2.1881    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R81           6.6004    1.2642  180.0  A1   (T)  'R0201H12', 'R0201H12'
R82           6.7004    1.6152    0.0  A1   (T)  'R0201H12', 'R0201H12'
R83           6.6600    1.2680  180.0  A1   (T)  'R0201H12', 'R0201H12'
R84           6.5704    1.2642  180.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R85           6.7304    1.6152    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R86           6.7604    1.6152    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R87           6.6304    1.2672  180.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R88           6.8004    1.4502  180.0  A1   (T)  'R402H16', 'R402H16'
R90           6.5460    1.5800  270.0  A1   (T)  'R0201H12', 'R0201H12'
R91           6.7254    1.9882   90.0  A1   (T)  'R0201H12', 'R0201H12'
R92           6.8254    2.2582    0.0  A1   (T)  'R0201H12', 'R0201H12'
R93           6.6904    1.2640  180.0  A1   (T)  'R0201H12', 'R0201H12'
R94           6.6704    1.6182  180.0  A1   (T)  'R0201H12', 'R0201H12'
R95           6.5254    1.4550  270.0  A1   (T)  'R0201H12', 'R0201H12'
R96           0.9864    1.7313    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R98           1.2804    1.7290    0.0  A1   (T)  'R0201H12', 'R0201H12'
R99           1.0214    1.7333    0.0  A1   (T)  'R0201H12', 'R0201H12'
R102          1.1604    1.4082    0.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R103          1.0804    1.4082    0.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R104          1.3054    1.4082  180.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R105          1.2354    1.4082  180.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R106          0.7950    0.8240  270.0  A1   (T)  'R402H16', 'R402H16'
R107          1.7054    1.2682  270.0  A1   (T)  'R0201H12', 'R0201H12'
R108          0.7960    0.7930   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R109          0.7944    0.5111  180.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R110          1.1754    1.7253    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R111          2.2474    2.9872    0.0  A1   (T)  'R402H16', 'R402H16'
R112          1.5504    1.3782   90.0  A1   (T)  'R0201H12', 'R0201H12'
R113          1.4854    1.4282    0.0  A1   (T)  'R0201H12', 'R0201H12'
R114          0.4158    3.0808  270.0  A1   (T)  'R402H16', 'R402H16'
R115          0.4180    3.1340  270.0  A1   (T)  'R402H14', 'R402H14'
R116          1.5454    3.4500  270.0  A1   (T)  'R0201H12', 'R0201H12'
R117          1.5054    3.3632    0.0  A1   (T)  'R0201H12', 'R0201H12'
R118          1.4754    3.3632    0.0  A1   (T)  'R0201H12', 'R0201H12'
R123          2.4414    3.4682    0.0  A1   (T)  'R0201H12', 'R0201H12'
R124          2.6364    2.4802  180.0  A1   (T)  'R0201H12', 'R0201H12'
R125          1.4814    3.1391  270.0  A1   (T)  'R0201H12', 'R0201H12'
R126          2.0304    3.4421    0.0  A1   (T)  'R0201H12', 'R0201H12'
R127          1.9984    3.4421    0.0  A1   (T)  'R0201H12', 'R0201H12'
R128          6.8954    1.6182   90.0  A1   (T)  'R402H16', 'R402H16'
R129          6.8944    1.5781   90.0  A1   (T)  'R402H16', 'R402H16'
R130          7.2194    1.2880    0.0  A1   (T)  'R402H16', 'R402H16'
R131          7.1204    1.8882    0.0  A1   (T)  'R402H16', 'R402H16'
R132          6.2604    1.2682    0.0  A1   (T)  'R402H16', 'R402H16'
R133          7.0754    1.8882    0.0  A1   (T)  'R402H16', 'R402H16'
R134          7.1800    1.2890    0.0  A1   (T)  'R402H16', 'R402H16'
R135          7.2034    1.8932    0.0  A1   (T)  'R402H16', 'R402H16'
R136          6.4114    1.3141   90.0  A1   (T)  'R402H16', 'R402H16'
R137          7.1584    1.8882    0.0  A1   (T)  'R402H16', 'R402H16'
R138          6.4004    1.2750   90.0  A1   (T)  'R402H16', 'R402H16'
R139          6.8944    1.7372   90.0  A1   (T)  'R402H16', 'R402H16'
R140          7.1854    1.3640  180.0  A1   (T)  'R402H16', 'R402H16'
R141          6.8970    1.6980   90.0  A1   (T)  'R402H16', 'R402H16'
R142          1.8104    3.1132    0.0  A1   (T)  'R0201H12', 'R0201H12'
R143          6.3154    1.2835   90.0  A1   (T)  'R402H16', 'R402H16'
R144          6.8954    1.5361   90.0  A1   (T)  'R402H16', 'R402H16'
R145          2.2650    2.6070    0.0  A1   (T)  'R402H16', 'R402H16'
R146          7.0050    1.8900    0.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R147          6.2204    1.2682    0.0  A1   (T)  'R402H16', 'R402H16'
R148          6.8984    1.4982   90.0  A1   (T)  'R402H16', 'R402H16'
R149          7.3854    1.9850   90.0  A1   (T)  'R402H16', 'R402H16'
R150          7.3504    1.3650  270.0  A1   (T)  'R0201H12', 'R0201H12'
R153          6.8104    1.6882  270.0  A1   (T)  'R402H16', 'R402H16'
R154          6.8104    1.6332  270.0  A1   (T)  'R402H16', 'R402H16'
R156          6.8014    1.5162    0.0  A1   (T)  'R402H16', 'R402H16'
R158          7.1454    1.3640    0.0  A1   (T)  'R402H16', 'R402H16'
R159          6.3854    2.9482  270.0  A1   (T)  'R0201H12', 'R0201H12'
R160          7.2840    1.8950    0.0  A1   (T)  'R402H16', 'R402H16'
R161          6.3854    2.9131  270.0  A1   (T)  'R0201H12', 'R0201H12'
R162          6.8534    2.4882    0.0  A1   (T)  'R402H16', 'R402H16'
R163          6.8954    1.4582  270.0  A1   (T)  'R402H16', 'R402H16'
R164          7.2980    1.3650   90.0  A1   (T)  'R0201H12', 'R0201H12'
R165          6.9900    2.5890    0.0  A1   (T)  'R402H16', 'R402H16'
R166          6.6980    2.4840    0.0  A1   (T)  'R402H16', 'R402H16'
R167          6.8954    1.4222  270.0  A1   (T)  'R402H16', 'R402H16'
R168          6.6404    2.5871  270.0  A1   (T)  'R402H16', 'R402H16'
R169          6.8304    3.0092  270.0  A1   (T)  'R0201H12', 'R0201H12'
R170          6.8070    1.7490   90.0  A1   (T)  'R402H16', 'R402H16'
R171          6.8940    1.7781  270.0  A1   (T)  'R402H16', 'R402H16'
R172          6.8104    1.7881   90.0  A1   (T)  'R402H16', 'R402H16'
R173          7.4654    1.7232   90.0  A1   (T)  'R402H16', 'R402H16'
R174          5.7004    3.7182  180.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R175          5.7104    3.6681  180.0  A1   (T)  'R0201H12', 'R0201H12'
R176          5.7304    3.7182    0.0  A1   (T)  'R0201H12', 'R0201H12'
R177          5.6554    3.6681  180.0  A1   (T)  'R0201H12', 'R0201H12'
R178          5.4454    3.6881  180.0  A1   (T)  'R0201H12', 'R0201H12'
R180          5.5404    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R181          5.5704    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R182          5.6054    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R183          5.6354    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R184          5.6654    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R185          5.6934    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R186          5.7224    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R187          5.7524    4.0582    0.0  A1   (B)  '0R0201-PAD_B', '0R0201-PAD_B'
R189          5.4704    3.4832  270.0  A1   (T)  'R0201H12', 'R0201H12'
R190          6.0354    3.0831    0.0  A1   (T)  'R0201H12', 'R0201H12'
R191          6.0704    3.0831    0.0  A1   (T)  'R0201H12', 'R0201H12'
R192          5.6654    3.7182  180.0  A1   (T)  'R0201H12', 'R0201H12'
R198          5.6194    3.5231  270.0  A1   (T)  'R0201H12', 'R0201H12'
R199          5.5954    3.6602   90.0  A1   (B)  'R0201H12_B', 'R0201H12_B'
R200          5.6254    3.6681  180.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R201          5.6604    3.5231  270.0  A1   (T)  'R0201H12', 'R0201H12'
R202          7.4004    3.2632   90.0  A1   (T)  'R402H16', 'R402H16'
R203          6.5910    2.9470  180.0  A1   (T)  'R402H16', 'R402H16'
R204          6.7874    3.0092  270.0  A1   (T)  'R0201H12', 'R0201H12'
R205          6.0604    3.2881  270.0  A1   (T)  'R0201H12', 'R0201H12'
R206          6.0604    3.3482  270.0  A1   (T)  'R0201H12', 'R0201H12'
R207          6.0604    3.4061  270.0  A1   (T)  'R0201H12', 'R0201H12'
R208          6.0604    3.2281  270.0  A1   (T)  'R0201H12', 'R0201H12'
R209          6.0604    3.2582  270.0  A1   (T)  'R0201H12', 'R0201H12'
R210          6.0604    3.3182  270.0  A1   (T)  'R0201H12', 'R0201H12'
R211          6.0604    3.3782  270.0  A1   (T)  'R0201H12', 'R0201H12'
R212          6.0604    3.4341  270.0  A1   (T)  'R0201H12', 'R0201H12'
R213          6.0604    3.5231   90.0  A1   (T)  'R0201H12', 'R0201H12'
R214          6.0604    3.4932   90.0  A1   (T)  'R0201H12', 'R0201H12'
R215          6.0604    3.4632   90.0  A1   (T)  'R0201H12', 'R0201H12'
R217          0.8660    1.1280    0.0  A1   (T)  'R0201H12', 'R0201H12'
R218          0.8780    1.1810    0.0  A1   (T)  'R0201H12', 'R0201H12'
R219          0.8194    1.3652   90.0  A1   (T)  'R0201H12', 'R0201H12'
R220          0.8704    1.3982  180.0  A1   (T)  'R0201H12', 'R0201H12'
R221          0.8754    1.4732    0.0  A1   (T)  'R0201H12', 'R0201H12'
R222          0.8654    1.0572    0.0  A1   (T)  'R0201H12', 'R0201H12'
R224          0.9204    2.6582    0.0  A1   (T)  'R0201H12', 'R0201H12'
R225          0.7810    3.2370  270.0  A1   (T)  'R0201H12', 'R0201H12'
R226          0.5804    3.2403    0.0  A1   (T)  'R0201H12', 'R0201H12'
R227          0.7754    2.9381   90.0  A1   (T)  'R0201H12', 'R0201H12'
R228          1.0254    3.1142  180.0  A1   (T)  'R0201H12', 'R0201H12'
R229          0.9854    3.1142    0.0  A1   (T)  'R0201H12', 'R0201H12'
R230          1.0134    2.6972  180.0  A1   (T)  'R0201H12', 'R0201H12'
R231          0.9544    3.1031    0.0  A1   (T)  'R0201H12', 'R0201H12'
R232          0.9154    3.1031    0.0  A1   (T)  'R0201H12', 'R0201H12'
R233          1.0604    3.1582    0.0  A1   (T)  'R0201H12', 'R0201H12'
R234          1.0604    3.1132    0.0  A1   (T)  'R0201H12', 'R0201H12'
R235          7.6454    2.0032    0.0  A1   (T)  'R402H16', 'R402H16'
R236          7.7570    2.0030  180.0  A1   (T)  'R402H16', 'R402H16'
R239          7.5604    1.6682   90.0  A1   (T)  'R402H16', 'R402H16'
R240          7.6854    2.0821   90.0  A1   (T)  'R0201H12', 'R0201H12'
R246          5.0754    1.2682    0.0  A1   (T)  'R0201H12', 'R0201H12'
R247          5.0454    1.2682  180.0  A1   (T)  'R0201H12', 'R0201H12'
R248          6.3650    1.3200    0.0  A1   (T)  'R0201H12', 'R0201H12'
R249          6.3380    1.3200  180.0  A1   (T)  'R0201H12', 'R0201H12'
R250          6.3004    1.3300   90.0  A1   (T)  'R0201H12', 'R0201H12'
R252          4.8404    1.3882    0.0  A1   (T)  'R0201H12', 'R0201H12'
R253          4.7304    1.3932  180.0  A1   (T)  'R0201H12', 'R0201H12'
R254          1.1990    2.0360  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R255          7.5604    1.7102   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R256          1.1930    2.0710  270.0  A1   (T)  'R402H16', 'R402H16'
R257          7.6480    1.6890  270.0  A1   (T)  'R402H16', 'R402H16'
R258          0.9654    2.1332  180.0  A1   (T)  'R402H16', 'R402H16'
R259          7.8304    1.6382    0.0  A1   (T)  'R402H16', 'R402H16'
R260          1.0254    2.1332  180.0  A1   (T)  'R402H16', 'R402H16'
R261          7.8174    1.5832   90.0  A1   (T)  'R402H16', 'R402H16'
R262          1.0704    2.1332  180.0  A1   (T)  'R402H16', 'R402H16'
R263          7.8174    1.5432   90.0  A1   (T)  'R402H16', 'R402H16'
R264          7.7894    1.9250  180.0  A1   (T)  'R402H16', 'R402H16'
R265          1.0654    1.8281  270.0  A1   (T)  'R402H16', 'R402H16'
R266          7.7054    1.9002  180.0  A1   (T)  'R402H16', 'R402H16'
R267          1.1354    1.8281   90.0  A1   (T)  'R402H16', 'R402H16'
R268          4.3704    1.4782   90.0  A1   (T)  'R0201H12', 'R0201H12'
R269          4.3150    1.4860  180.0  A1   (T)  'R0201H12', 'R0201H12'
R270          3.5892    1.5140  180.0  A1   (T)  'R0201H12', 'R0201H12'
R271          3.4962    1.5140  180.0  A1   (T)  'R0201H12', 'R0201H12'
R272          5.8952    1.6900  180.0  A1   (T)  'R0201H12', 'R0201H12'
R273          5.8002    1.6910  180.0  A1   (T)  'R0201H12', 'R0201H12'
R274          5.1594    1.4792  270.0  A1   (T)  'R0201H12', 'R0201H12'
R275          5.0324    1.4782   90.0  A1   (T)  'R0201H12', 'R0201H12'
R276          4.7112    2.4555    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R277          4.6732    2.4555    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R278          5.6604    3.3432  180.0  A1   (T)  'R402H16', 'R402H16'
R279          5.0454    3.6582   90.0  A1   (T)  'R402H16', 'R402H16'
R280          4.9854    3.6441  180.0  A1   (T)  'R402H16', 'R402H16'
R281          5.2490    3.6380  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R282          5.3854    3.6751    0.0  A1   (T)  'R402H16', 'R402H16'
R283          5.3450    3.6640    0.0  A1   (T)  'R402H16', 'R402H16'
R284          5.1804    3.1231   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R285          5.3924    3.0332   90.0  A1   (T)  'R402H16', 'R402H16'
R286          5.3954    3.1582   90.0  A1   (T)  'R402H16', 'R402H16'
R287          5.4784    3.1132   90.0  A1   (T)  'R402H16', 'R402H16'
R288          5.3924    3.1132   90.0  A1   (T)  'R402H16', 'R402H16'
R289          5.4780    3.0711   90.0  A1   (T)  'R402H16', 'R402H16'
R290          5.3924    3.0682   90.0  A1   (T)  'R402H16', 'R402H16'
R291          5.4804    3.1692   90.0  A1   (T)  'R402H16', 'R402H16'
R292          5.4774    3.0311   90.0  A1   (T)  'R402H16', 'R402H16'
R303          6.7454    3.8900  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R304          6.4954    3.8131  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R305          0.8004    0.5931  270.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R306          6.7454    3.9300   90.0  A1   (T)  'R402H16', 'R402H16'
R307          6.7454    3.9700   90.0  A1   (T)  'R402H16', 'R402H16'
R323          6.0604    3.5831  270.0  A1   (T)  'R0201H12', 'R0201H12'
R324          5.4784    2.9611   90.0  A1   (T)  'R402H16', 'R402H16'
R325          5.4774    2.9912   90.0  A1   (T)  'R402H16', 'R402H16'
R326          1.9084    1.2332   90.0  A1   (T)  'R0201H12', 'R0201H12'
R328          1.5920    1.5170    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R329          1.6114    1.6054  270.0  A1   (T)  'RL3216-4P-3H28', 'RL3216-4P-3H28'
R330          1.6270    1.5190    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R331          3.9504    1.1931  180.0  A1   (T)  '0R0201-DB', '0R0201-DB'
R332          3.9710    1.1970  180.0  A1   (T)  'R0201H12', 'R0201H12'
R333          4.1854    3.6282    0.0  A1   (T)  'R402H16', 'R402H16'
R334          6.9504    2.5932  180.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R335          6.7354    2.4882  180.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R336          6.6404    2.7012   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R337          6.6404    2.8152   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R338          6.6404    3.0181   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R340          1.9084    1.2031   90.0  A1   (T)  'R0201H12', 'R0201H12'
R341          2.6104    1.9031   90.0  A1   (T)  'NTC-402H22-U', 'NTC-402H22-U'
R343          1.0704    2.4381  180.0  A1   (T)  'R0201H12', 'R0201H12'
R344          7.0804    1.3100  180.0  A1   (T)  'R0201H12', 'R0201H12'
R345          5.8254    1.6282  270.0  A1   (T)  'R0201H12', 'R0201H12'
R351          5.8254    1.5932   90.0  A1   (T)  'R0201H12', 'R0201H12'
R352          2.4454    1.1332  180.0  A1   (T)  'R0201H12', 'R0201H12'
R353          5.5954    3.4832  270.0  A1   (T)  'R402H16', 'R402H16'
R354          5.5304    3.5932  270.0  A1   (T)  'NTC-402H22-U', 'NTC-402H22-U'
R361          7.4004    3.2182   90.0  A1   (T)  'R402H16', 'R402H16'
R367          1.6834    3.4610    0.0  A1   (T)  '0R0603-PAD-1-U', '0R0603-PAD-1-U'
R368          4.4854    1.4311    0.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R370          6.8354    3.5250    0.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R371          0.9854    1.2332    0.0  A1   (T)  'R0201H12', 'R0201H12'
R379          2.0104    1.1382  180.0  A1   (T)  'R0201H12', 'R0201H12'
R380          2.0650    1.1410    0.0  A1   (T)  'R0201H12', 'R0201H12'
R381          5.5784    3.1012  270.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R383          6.1984    3.7770  270.0  A1   (T)  '0R0603-PAD-1-U', '0R0603-PAD-1-U'
R384          7.6154    2.0762   90.0  A1   (T)  '0R0402-PAD-1', '0R0402-PAD-1'
R386          6.8604    3.3300  270.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R387          7.3254    3.4100  180.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R389          7.4420    3.6620   90.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R390          0.9144    1.2582    0.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
R391          2.6854    2.8981  270.0  A1   (T)  'R0201H12', 'R0201H12'
R392          2.6854    2.8682  270.0  A1   (T)  'R0201H12', 'R0201H12'
R393          2.8304    2.7050    0.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R394          7.3364    1.8902  180.0  A1   (T)  'R402H16', 'R402H16'
R395          2.0404    1.4382   90.0  A1   (T)  'R402H16', 'R402H16'
R396          2.1904    1.4482    0.0  A1   (T)  'R402H16', 'R402H16'
R397          2.2304    1.4482  180.0  A1   (T)  'R402H16', 'R402H16'
R399          2.3554    1.4431  180.0  A1   (T)  'R402H16', 'R402H16'
R400          2.8404    1.6342   90.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R401          2.7562    1.6312    0.0  A1   (T)  'RL3216-4P-3H28', 'RL3216-4P-3H28'
R402          2.2054    2.9682    0.0  A1   (T)  '0R0603-PAD-U', '0R0603-PAD-U'
R403          2.6944    3.0181  180.0  A1   (T)  '0R0603-PAD-U', '0R0603-PAD-U'
