 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               23-January-2018 15:05

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    1.052       0.906       0.000
    1.466       0.906       0.000
    1.466       0.945       0.000
    1.467       0.955       0.000
    1.471       0.965       0.000
    1.477       0.973       0.000
    1.485       0.979       0.000
    1.495       0.983       0.000
    1.505       0.984       0.000
    2.306       0.984       0.000
    2.326       0.982       0.000
    2.345       0.974       0.000
    2.362       0.961       0.000
    2.374       0.945       0.000
    2.382       0.926       0.000
    2.385       0.906       0.000
    2.385       0.827       0.000
    2.387       0.806       0.000
    2.395       0.787       0.000
    2.408       0.771       0.000
    2.424       0.759       0.000
    2.443       0.751       0.000
    2.463       0.748       0.000
    2.781       0.748       0.000
    2.801       0.751       0.000
    2.820       0.759       0.000
    2.836       0.771       0.000
    2.849       0.787       0.000
    2.857       0.806       0.000
    2.860       0.827       0.000
    2.860       0.906       0.000
    2.862       0.926       0.000
    2.870       0.945       0.000
    2.883       0.961       0.000
    2.899       0.974       0.000
    2.918       0.982       0.000
    2.938       0.984       0.000
    7.781       0.984       0.000
    7.791       0.986       0.000
    7.800       0.990       0.000
    7.809       0.996       0.000
    7.815       1.004       0.000
    7.819       1.013       0.000
    7.820       1.024       0.000
    7.820       1.122       0.000
    7.821       1.132       0.000
    7.825       1.142       0.000
    7.832       1.150       0.000
    7.840       1.156       0.000
    7.849       1.160       0.000
    7.859       1.161       0.000
    7.938       1.161       0.000
    7.948       1.163       0.000
    7.958       1.167       0.000
    7.966       1.173       0.000
    7.972       1.181       0.000
    7.976       1.191       0.000
    7.978       1.201       0.000
    7.978       2.798       0.000
    7.938       2.838       0.000
    7.741       2.838       0.000
    7.736       2.838       0.000
    7.731       2.840       0.000
    7.727       2.843       0.000
    7.724       2.848       0.000
    7.722       2.852       0.000
    7.721       2.857       0.000
    7.722       2.862       0.000
    7.724       2.867       0.000
    7.727       2.871       0.000
    7.731       2.874       0.000
    7.736       2.876       0.000
    7.741       2.877       0.000
    7.741       3.633       0.000
    7.736       3.634       0.000
    7.731       3.636       0.000
    7.727       3.639       0.000
    7.724       3.643       0.000
    7.722       3.648       0.000
    7.721       3.653       0.000
    7.722       3.658       0.000
    7.724       3.663       0.000
    7.727       3.667       0.000
    7.731       3.670       0.000
    7.736       3.672       0.000
    7.741       3.672       0.000
    7.938       3.672       0.000
    7.978       3.712       0.000
    7.978       4.075       0.000
    7.972       4.116       0.000
    7.956       4.154       0.000
    7.931       4.186       0.000
    7.899       4.211       0.000
    7.861       4.227       0.000
    7.820       4.232       0.000
    2.879       4.232       0.000
    2.838       4.227       0.000
    2.800       4.211       0.000
    2.768       4.186       0.000
    2.743       4.154       0.000
    2.727       4.116       0.000
    2.722       4.075       0.000
    2.722       3.894       0.000
    2.715       3.843       0.000
    2.695       3.795       0.000
    2.664       3.755       0.000
    2.623       3.723       0.000
    2.576       3.704       0.000
    2.525       3.697       0.000
    0.512       3.697       0.000
    0.502       3.698       0.000
    0.492       3.702       0.000
    0.484       3.708       0.000
    0.478       3.717       0.000
    0.474       3.726       0.000
    0.472       3.736       0.000
