 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Test Fixture Nails     298/298  Selected Drills           23-January-2018 15:05
                        298 Nails,  1761 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$62       4.3932    1.5122   1  A1   (T)  #93   DDQ_1A_ZQ_0_     T PIN TB_TP224.1
$63       4.2932    1.5232   1  A1   (T)  #92   DDQ_1A_ZQ_1_     T PIN TB_TP223.1
$64       3.5892    1.5581   1  A1   (T)  #91   DDQ_1B_ZQ_0_     T PIN TB_TP222.1
$65       3.4962    1.5572   1  A1   (T)  #90   DDQ_1B_ZQ_1_     T PIN TB_TP221.1
$66       2.7604    1.8732   1  A1   (T)  #961  TEMP_SENSOR_CHARGER T PIN TB_TP25.1
$67       2.6210    1.2750   1  A1   (T)  #382  PPVAR_BAT        T PIN TB_TP57.1
$68       2.5054    1.1722   1  A1   (T)  #384  PP1500_VREF      T PIN TB_TP84.1
$69       2.3664    1.2741   1  A1   (T)  #383  CHARGER_TSENSE   T PIN TB_TP230.1
$70       2.3200    1.4105   1  A1   (T)  #373  BUCK_BOOST_HIDRV2 T PIN TB_TP234.1
$71       2.0917    1.4190   1  A1   (T)  #368  BUCK_BOOST_HIDRV1 T PIN TB_TP236.1
$72       1.9870    1.4560   1  A1   (T)  #1039 BUCK_BOOST_HIDRV1_R T PIN TB_TP235.1
$73       1.7114    1.6192   1  A1   (T)  #1050 PPVAR_PWR_IN_BB  T PIN TB_TP54.1
$74       1.6494    1.4672   3  A1   (T)  #364  BUCKBOOST_ACN    T PIN TB_TP233.1
$75       1.5974    1.4652   3  A1   (T)  #363  BUCKBOOST_ACP    T PIN TB_TP232.1
$76       1.6594    1.3792   1  A1   (T)  #135  HP_RING2         T PIN TB_TP128.1
$77       1.5254    1.3330   1  A1   (T)  #997  HP_MICBIAS       T PIN TB_TP129.1
$78       1.3954    1.2272   1  A1   (T)  #140  HP_SLEEVE        T PIN TB_TP127.1
$79       1.4514    1.4193   1  A1   (T)  #989  HP_JACK_DET_L    T PIN TB_TP130.1
$80       1.3054    1.4800   2  A1   (T)  #183  SPKR_RIGHT_P     T PIN TB_TP32.1
$81       1.2354    1.4840   2  A1   (T)  #185  SPKR_RIGHT_N     T PIN TB_TP34.1
$82       1.2750    1.3080   2  A1   (T)  #202  SPKR_RIGHT_P_R   T PIN TB_TP31.1
$83       1.2040    1.3020   2  A1   (T)  #203  SPKR_RIGHT_N_R   T PIN TB_TP33.1
$84       1.0174    1.2482   1  A1   (T)  #867  AP255X_ILIM      T PIN TB_TP243.1
$85       0.7774    1.2132   1  A1   (T)  #197  PP3300_SD_DX     T PIN TB_TP66.1
$86       0.9774    1.4602   2  A1   (T)  #179  SPKR_LEFT_N      T PIN TB_TP36.1
$87       1.0570    1.4862   1  A1   (T)  #177  SPKR_LEFT_P      T PIN TB_TP35.1
$88       1.1558    1.6883   3  A1   (T)  #187  I2S_SFRM_SPKR_RC_R T PIN TB_TP120.1
$89       1.2074    1.6850   3  A1   (T)  #186  I2S_SCLK_SPKR_RC_R T PIN TB_TP122.1
$90       1.2514    1.6560   3  A1   (T)  #184  I2S_PCH_TX_SPKR_RX_RC_R T PIN TB_TP124.1
$91       1.2954    1.6860   3  A1   (T)  #182  RSPK_PA_EN       T PIN TB_TP46.1
$92       1.5134    2.0551   1  A1   (T)  #51   PP5000_A_R       T PIN TB_TP61.1
$93       2.0554    2.2681   1  A1   (T)  #48   PP1100_VDDQ_R    T PIN TB_TP88.1
$94       2.3360    2.3400   1  A1   (T)  #54   PPVAR_SYS        T PIN TB_TP52.1
$95       2.6474    2.5271   1  A1   (T)  #1    ILIM2            T PIN TB_TP119.1
$96       2.7750    2.5930   2  A1   (T)  #1034 PMIC_BOOT2_R     T PIN TB_TP91.1
$97       2.8220    2.5290   1  A1   (T)  #17   DRVH2            T PIN TB_TP190.1
$98       3.1830    2.6460   1  A1   (T)  #16   PPVAR_VCCGI_SW   T PIN TB_TP50.1
$99       3.1524    2.5030   1  A1   (T)  #13   DRVL2            T PIN TB_TP189.1
$100      3.4014    2.3885   2  A1   (T)  #429  DDR_1B_CA_2_     T PIN TB_TP207.1
$101      3.4154    2.4655   1  A1   (T)  #428  DDR_1B_CA_4_     T PIN TB_TP205.1
$102      3.4854    2.5495   3  A1   (T)  #426  DDR_1B_CA_0_     T PIN TB_TP209.1
$103      3.5324    2.5265   3  A1   (T)  #427  DDR_1B_CA_1_     T PIN TB_TP208.1
$104      3.6214    2.5035   1  A1   (T)  #430  DDR_1B_CA_3_     T PIN TB_TP206.1
$105      3.9548    2.9129   1  A1   (T)  #470  DDI0_RCOMP_N     T PIN TB_TP229.1
$106      3.9224    2.3655   2  A1   (T)  #499  DDR_1B_CA_5_     T PIN TB_TP204.1
$107      3.9174    2.2865   1  A1   (T)  #497  DDR_1B_CKE_0_    T PIN TB_TP203.1
$108      4.7332    2.3150   3  A1   (T)  #574  DDR_0B_DQ_29_    T PIN TB_TP212.1
$109      4.7330    2.2619   3  A1   (T)  #571  DDR_0B_DQ_30_    T PIN TB_TP211.1
$110      4.8372    2.1431   3  A1   (T)  #583  DDR_0B_DQ_25_    T PIN TB_TP213.1
$111      4.8522    2.0942   3  A1   (T)  #566  DDR_0B_DQ_31_    T PIN TB_TP210.1
$112      5.0674    2.2253   1  A1   (T)  #567  DDR_0B_DQ_24_    T PIN TB_TP214.1
$113      5.0454    2.3565   3  A1   (T)  #661  DDR_0A_CA_2_     T PIN TB_TP220.1
$114      5.0924    2.3765   3  A1   (T)  #666  DDR_0A_CA_4_     T PIN TB_TP219.1
$115      5.1807    2.3622   1  A1   (T)  #778  DDR_0A_CA_5_     T PIN TB_TP218.1
$116      5.4033    2.4082   1  A1   (T)  #774  DDR_0A_CKE_0_    T PIN TB_TP217.1
$117      5.4184    2.5775   1  A1   (T)  #773  DDR_0A_DQ_3_     T PIN TB_TP216.1
$118      5.7814    2.7372   3  A1   (T)  #790  PCH_I2C_NFC_SDA  T PIN TP89.1
$119      5.8334    2.7372   3  A1   (T)  #788  PCH_I2C_NFC_SCL  T PIN TP88.1
$120      5.9174    2.6825   1  A1   (T)  #784  DDR_0A_DQ_6_     T PIN TB_TP215.1
$121      6.1124    2.9032   1  A1   (T)  #737  PCH_RTEST_ODL    T PIN TB_TP97.1
$122      6.1014    3.2582   2  A1   (T)  #938  EMMC_DAT4_R      T PIN TB_TP170.1
$123      6.1014    3.3182   3  A1   (T)  #937  EMMC_DAT5_R      T PIN TB_TP169.1
$124      6.1014    3.3782   3  A1   (T)  #936  EMMC_DAT6_R      T PIN TB_TP168.1
$125      6.1014    3.4282   3  A1   (T)  #935  EMMC_DAT7_R      T PIN TB_TP167.1
$126      6.0054    3.7521   1  A1   (T)  #654  EMMC_RST_ODL     T PIN TB_TP166.1
$127      5.8984    3.8001   1  A1   (T)  #1053 PCH_RSMRST_OD    T PIN TB_TP98.1
$128      5.6396    3.8593   3  A1   (T)  #652  NFC_FW_DL        T PIN TP85.1
$129      5.5894    3.8542   3  A1   (T)  #1082 RTCK_EXTC        T PIN TB_TP45.1
$130      5.6220    3.7806   1  A1   (T)  #1059 TRC_DATA2_1_     T PIN TB_TP19.1
$131      5.3898    3.7988   3  A1   (T)  #762  UART_PCH_TX_GPS_RX T PIN TB_TP18.1
$132      5.3904    3.7332   2  A1   (T)  #748  PCH_SPI_FP_MOSI  T PIN TP96.1
$133      5.4804    3.6732   1  A1   (T)  #843  SIO_SPI_2_TXD_GPIO123 T PIN TP40.1
$134      5.5204    3.4882   1  A1   (T)  #861  I2S_PCH_TX_HP_RX T PIN TP59.1
$135      5.4254    3.2761   3  A1   (T)  #839  GPIO_92          T PIN TP5.1
$136      5.4260    3.3250   3  A1   (T)  #845  GPIO_78          T PIN TP22.1
$137      5.4014    3.4192   1  A1   (T)  #749  GPIO_112         T PIN TP46.1
$138      5.4054    3.5082   3  A1   (T)  #858  GPIO_117         T PIN TP44.1
$139      5.4054    3.5581   3  A1   (T)  #848  GPIO_118         T PIN TP43.1
$140      5.3060    3.6290   1  A1   (T)  #856  GPIO_111         T PIN TP47.1
$141      5.2354    3.5661   1  A1   (T)  #852  GPIO_120         T PIN TP42.1
$142      5.1450    3.5670   1  A1   (T)  #744  PCH_SPI_FP_CS_L  T PIN TP49.1
$143      5.0380    3.6190   3  A1   (T)  #750  GPIO_39          T PIN TP38.1
$144      5.0250    3.5690   3  A1   (T)  #757  GPIO_40          T PIN TP39.1
$145      4.9514    3.5722   3  A1   (T)  #767  TOUCHSCREEN_RST_1V8 T PIN TP1.1
$146      4.9010    3.5630   3  A1   (T)  #761  GPIO_34          T PIN TP3.1
$147      4.9070    3.6110   3  A1   (T)  #768  PCHTX_SERVORX_UART T PIN TP51.1
$148      4.9704    3.7931   1  A1   (T)  #766  GPS_RST_ODL      T PIN TP91.1
